company,date,avjSubj_std,avgPol_std,medianTime_std,numTweets_over_revenue_std,sumRetweets_over_revenue_std,sumFavorites_over_revenue_std,sumFollowers_over_revenue_std,numVerified_over_revenue_std,categorical
@apple,2017-11-17,0.414950062,-0.793765516,0.838722126,0.146277491,-0.064351391,-0.070652145,-0.374533305,0.236519047,DOWN
@apple,2017-11-16,0.434672542,-0.789121182,-0.284060472,0.049942798,-0.065775773,-0.128904324,-0.335713055,-0.38660399,DOWN
@apple,2017-11-15,1.747434774,-1.447078882,-0.47153351,0.940052825,4.804912952,3.798812609,-0.095358324,-0.268715848,DOWN
@apple,2017-11-13,0.440030593,-0.83917654,0.011127336,0.141207244,-0.129479184,-0.168647614,-0.47347736,-0.605539111,UP
@cisco,2017-11-24,-2.260569756,0.200629416,-0.557047527,-1.158699423,-0.315517021,-0.422591968,-0.903122671,-1.099618262,UP
@cisco,2017-11-22,0.784772067,1.528684695,0.40786304,-0.599767593,-0.286785459,-0.414890559,-0.835778484,-0.953690194,DOWN
@cisco,2017-11-21,-0.285053536,0.54573629,0.203945,-0.614412095,-0.296280508,-0.405175594,-0.795206084,-0.588870023,DOWN
@cisco,2017-11-20,-0.400783584,0.036856102,-1.403965196,-0.660786352,-0.30874594,-0.417417837,0.224968068,-0.369977921,UP
@cisco,2017-11-17,0.3160027,0.501337553,-0.37204124,-0.660786352,-0.313842999,-0.418598809,-0.539534524,-0.515905989,DOWN
@cisco,2017-11-16,0.422801086,0.533010329,-1.179079776,-0.494815328,-0.310808334,-0.415207945,-0.545044537,-0.151085819,DOWN
@cisco,2017-11-15,0.102350523,0.811382952,-0.382319367,-0.507019079,-0.310511028,-0.414434409,-0.288615377,0.067806284,UP
@cisco,2017-11-14,-0.113813459,0.439059015,-0.488800763,-0.604649093,-0.314667957,-0.420511982,0.023108217,0.651518557,UP
@cisco,2017-11-13,-1.172108913,0.411790085,0.765952987,-0.912183638,-0.315940213,-0.421806622,-0.78453202,-0.151085819,UP
@cisco,2017-11-10,-0.522733611,-1.747774832,0.129120235,-0.614412095,-0.304543477,-0.415805812,-0.24897002,-0.224049853,DOWN
@cisco,2017-11-09,0.089860315,0.860530214,-0.758909942,-0.670549353,-0.314378686,-0.418023085,-0.733601404,-0.661834058,DOWN
@cisco,2017-11-08,-0.66599676,-0.046257967,-0.018884795,-0.499696828,-0.309337873,-0.413206199,-0.633350251,-0.078121784,UP
@cisco,2017-11-07,-1.26017642,0.151520262,0.030450215,-0.258062544,-0.306876393,-0.415785145,-0.652370066,0.140770318,UP
@google,2017-11-24,0.698932945,-0.781411504,-0.617482914,0.546331151,0.256382675,0.446414943,-0.015424631,-0.157181043,UP
@google,2017-11-22,-0.448869407,-0.76142755,0.886823761,1.344129934,1.073387626,1.727100702,0.226375403,0.767464429,UP
@google,2017-11-21,-0.162293849,-0.750425773,0.387717911,1.674768467,0.150916618,0.304636608,0.693675466,1.660225574,UP
@google,2017-11-20,0.762592822,-1.272881363,0.162010241,1.25133783,2.423431096,3.003557277,0.261129527,0.671811449,DOWN
@google,2017-11-17,-0.22179412,0.072600208,0.266024887,1.103083778,0.316471922,0.856078223,1.896304372,0.576158469,DOWN
@google,2017-11-16,2.223341194,1.180100725,-0.491678639,2.259252068,0.85769065,1.37096732,3.555512384,2.808061331,UP
@google,2017-11-15,-0.261310946,-0.506219456,0.73552973,1.313199233,-0.055271698,0.087539298,0.42228518,1.6921099,UP
@google,2017-11-14,-0.310494759,-0.125344569,-0.101932061,1.20440849,0.423999123,1.386982229,0.332991195,2.106606146,UP
@google,2017-11-13,-0.124303754,-0.831669119,-0.047252425,0.900434355,0.958267776,1.464684797,0.674087049,1.181960675,UP
@google,2017-11-10,-0.220193804,0.859587504,-1.128922516,1.179877244,0.535025943,0.790245241,0.131512756,1.6921099,UP
@google,2017-11-09,-0.924627956,-0.375496704,0.227790255,1.522248112,0.300742371,0.389229341,0.785602086,1.947184513,DOWN
@google,2017-11-08,0.420796563,0.660589101,0.079785225,1.190543003,0.549497269,0.772980799,0.371508681,1.118192021,UP
@google,2017-11-07,0.589262916,0.528925825,0.425130294,1.448654374,0.723305349,1.341202397,1.756191157,2.329796432,UP
@google,2017-11-06,1.515187255,0.448725265,0.449797799,2.011806456,1.229862651,1.974071954,0.251126027,1.309497981,DOWN
@hp,2017-11-24,0.87180637,-0.099580839,0.72977398,-1.070773354,-0.315310401,-0.414890628,0.195694358,-0.447411421,DOWN
@hp,2017-11-22,0.60247546,1.581895911,0.682494595,-0.732831471,-0.263938809,-0.266975266,-0.507561721,-1.057627628,UP
@hp,2017-11-21,-1.30484554,-0.695403894,-1.254315666,-0.936957441,-0.308869041,-0.394473183,-0.751064521,-0.922024027,UP
@hp,2017-11-20,-1.529756501,-0.449978302,1.365373356,-0.832626389,-0.290916362,-0.324272784,-0.659557607,-0.447411421,UP
@hp,2017-11-17,1.251421463,1.610554187,-0.126188441,-0.905204512,-0.307440393,-0.38347432,-0.791724014,-0.650816824,UP
@hp,2017-11-16,1.943840083,1.415620613,0.700584099,-0.737367604,-0.301708379,-0.361508145,-0.358955348,-0.583015023,UP
@hp,2017-11-15,0.156069973,2.843856993,0.466653927,-0.42437445,-0.221275996,-0.098586217,-0.47286009,-0.108402417,UP
@hp,2017-11-14,0.699399957,0.917980199,-1.086987758,-0.94376164,-0.307032208,-0.403281327,-0.779672242,-0.718618624,UP
@hp,2017-11-13,1.270133918,1.140188613,0.175577369,-0.814481859,-0.29033644,-0.325017655,-0.587609766,-0.718618624,DOWN
@ibm,2017-11-24,-0.144702568,0.056610984,0.05347322,-1.025586458,-0.307547283,-0.411488415,-0.841111364,-0.86341563,DOWN
@ibm,2017-11-22,-0.365071062,0.05576114,-0.222802835,-0.821442725,-0.288002927,-0.370938755,-0.775703449,-0.770950584,DOWN
@ibm,2017-11-21,0.600431084,-1.453059727,0.482687805,0.106483331,-0.181043572,-0.151986866,-0.22401953,-0.447322921,UP
@ibm,2017-11-20,-0.007461792,0.128284159,0.245057508,-0.652869492,-0.280465893,-0.391489055,-0.563499597,-0.86341563,DOWN
@ibm,2017-11-17,-1.378497124,-0.711376312,-0.380674867,-0.488935889,-0.267937547,-0.387921515,-0.580477262,-0.308625351,DOWN
@ibm,2017-11-16,-0.232639482,-0.081820707,-1.284738922,-0.088381141,-0.280628819,-0.364725961,-0.32945525,0.384862498,DOWN
@ibm,2017-11-15,0.054153639,0.006558546,-0.990373363,-0.190453007,-0.266459331,-0.328142312,0.052722736,1.494443057,DOWN
@ibm,2017-11-14,-0.054839691,0.33728809,0.996594158,-0.040438295,-0.225807546,-0.244275202,-0.047136757,0.338629975,DOWN
@ibm,2017-11-13,-1.088778505,-0.280077704,-1.437266327,-0.250768201,-0.253521972,-0.322642278,-0.144894346,-0.031230212,DOWN
@ibm,2017-11-10,0.460221251,-0.228430576,-0.601037911,-0.035798664,-0.259826877,-0.352852247,-0.443399286,-0.123695258,DOWN
@ibm,2017-11-09,-0.81535641,-0.391926794,1.00975016,-0.553890712,-0.277329564,-0.381078275,-0.47911672,-1.048345724,DOWN
@ibm,2017-11-08,-0.851096379,0.372364712,0.285758891,-0.23684931,-0.201803086,-0.270194583,-0.204613956,1.217047917,DOWN
@ibm,2017-11-07,-1.351945679,-0.3292757,-0.52086852,-0.331188459,-0.279002952,-0.347529934,-0.525802338,0.199932405,DOWN
@intel,2017-11-24,0.134892056,-1.885646844,-1.05080875,-1.095260015,-0.303552671,-0.382346031,-0.858207267,-1.135442885,UP
@intel,2017-11-22,-1.178767134,-0.904175183,0.388951287,-0.74308826,-0.257325614,-0.380060714,-0.913151733,-1.409605842,DOWN
@intel,2017-11-21,-1.21972677,-0.587160446,-0.057530552,-0.651376865,-0.280690748,-0.37372506,-0.675366666,-0.806447336,UP
@intel,2017-11-20,-0.240790314,0.866956144,-0.129888567,-0.948521784,-0.191135136,-0.325403913,-0.700408104,-1.135442885,DOWN
@intel,2017-11-17,0.032727541,-0.147320683,0.091296727,-0.618360763,-0.008322286,0.743042905,-0.725711988,-0.916112519,DOWN
@intel,2017-11-16,0.168899707,-0.153942995,-0.749454065,-0.572505066,-0.028444722,0.624615769,0.194020108,-0.806447336,UP
@intel,2017-11-15,-0.937775828,-0.184223731,0.519689063,-0.271691691,0.060462753,0.972169253,0.126992219,-0.093623648,UP
@intel,2017-11-14,-0.26100992,0.025671338,0.203533874,-0.633034586,-0.035523907,0.243996185,-0.670357424,-0.861279928,UP
@intel,2017-11-13,1.38201888,1.758212325,0.601091829,-0.76876745,-0.245174054,-0.26396549,-0.709708236,-0.916112519,UP
@intel,2017-11-10,-0.291217184,0.121706155,-0.018884795,-0.785275501,-0.278227023,-0.342094495,-0.432953688,-0.696782154,DOWN
@intel,2017-11-09,1.168676822,0.284370345,0.474465303,-0.548660103,-0.251347457,-0.285069174,0.556588496,1.003028179,UP
@intel,2017-11-08,2.429313131,1.391943792,0.696472848,-0.466119848,-0.19356263,-0.323350456,0.486258151,0.509534857,UP
@intel,2017-11-07,2.682817813,2.657730385,1.4611655,0.32810083,0.040265841,-0.106923149,0.303434455,2.319010372,UP
@intel,2017-11-06,-0.600597034,-0.192222176,0.375795284,-0.502804406,-0.259270025,-0.261460516,-0.288421885,0.180539309,UP
@microsoft,2017-11-24,0.649503072,-0.427407101,-0.37039674,-0.72905475,-0.303177279,-0.397293473,-0.63485319,-0.850967253,UP
@microsoft,2017-11-22,0.450725664,0.032243033,-0.235958838,-0.434511148,-0.297327406,-0.385286885,-0.602640764,-0.057063373,DOWN
@microsoft,2017-11-21,0.084312252,-0.456869849,0.200655999,-0.254646408,-0.28053949,-0.350316281,-0.359515818,0.015109707,UP
@microsoft,2017-11-20,0.580097796,-0.216558192,-0.360529738,-0.161696174,-0.275477814,-0.356467422,1.134254782,0.339888566,UP
@microsoft,2017-11-17,-0.097299582,-0.232399652,0.140631737,-0.039774437,-0.244699747,-0.271451723,-0.088695135,0.267715486,DOWN
@microsoft,2017-11-16,-0.053817252,-0.32880061,-0.381085992,0.278912082,-0.215687505,-0.321910789,0.475460052,0.736840506,DOWN
@microsoft,2017-11-15,0.113873954,-0.145920572,-0.47235576,0.166647513,-0.249325598,-0.357391006,0.933565132,0.556407806,DOWN
@microsoft,2017-11-14,-0.062503088,0.086718588,-0.578837156,0.201654744,-0.240705779,-0.333648698,0.646770357,0.989446286,DOWN
@microsoft,2017-11-13,0.019343474,0.318316475,-0.204713332,-0.073574522,-0.239404924,-0.310202083,1.580174606,0.015109707,DOWN
@microsoft,2017-11-10,-0.251679274,-0.307520007,-0.536902398,-0.102546024,-0.245754208,-0.307397017,0.526593245,0.484234726,UP
@microsoft,2017-11-09,0.237665718,-0.222301859,-0.068219805,0.239076267,-0.143091327,-0.078719878,0.107895228,0.303802026,DOWN
@microsoft,2017-11-08,-0.629806723,-0.155985251,-0.438232378,1.734730046,0.855501548,3.721606651,-0.007137565,1.025532826,UP
@microsoft,2017-11-07,0.038763032,-0.34679351,-0.092887309,0.883692181,-0.228945097,-0.091290108,0.415781676,0.772927046,DOWN
@microsoft,2017-11-06,0.083922067,-0.036690379,0.696472848,0.113533093,-0.245017675,-0.20126228,1.170727373,1.458571306,UP
@oracle,2017-11-24,-1.08194649,-0.324320959,-2.319540753,-1.052027182,-0.311520584,-0.416882413,-0.899261416,-1.464438433,UP
@oracle,2017-11-22,1.277790327,0.90636213,0.973571153,-0.484563751,-0.288815933,-0.413364478,-0.658938591,-1.175282609,UP
@oracle,2017-11-21,2.10034881,0.568324586,0.832144125,-0.619981161,-0.291558041,-0.410659725,-0.443941953,-0.98251206,DOWN
@oracle,2017-11-20,-1.31723333,-1.126575167,0.192433497,-0.732829002,-0.30215496,-0.412278287,-0.663189538,-0.98251206,DOWN
@oracle,2017-11-17,2.542756283,-5.39004655,-0.678329426,-0.178262467,-0.276241158,-0.407576658,-0.382575214,-0.500585686,DOWN
@oracle,2017-11-16,0.21392733,0.324911194,0.774997739,-0.681241418,-0.312620966,-0.418809086,-0.374447654,-0.500585686,UP
@oracle,2017-11-15,-0.765376058,0.274406168,-0.572259155,-0.629653833,-0.30841758,-0.417352381,-0.613925227,-0.693356236,DOWN
@oracle,2017-11-14,0.08965759,0.031006691,-0.293105224,-0.142796003,-0.262470471,-0.411110192,-0.458631185,-0.500585686,DOWN
@oracle,2017-11-13,0.046903408,0.660011068,-1.240748538,-0.645774953,-0.295227158,-0.402602018,-0.790422244,-0.693356236,UP
@oracle,2017-11-10,-1.053268046,-0.04761215,-1.128922516,-0.823107275,-0.30995316,-0.414540373,-0.772431566,-0.596970961,UP
@xerox,2017-11-24,-0.072896272,-0.92856677,-3.394221717,-1.295669797,-0.316823228,-0.422507691,-0.947112965,-1.109816279,UP
@xerox,2017-11-22,0.556350632,0.92193783,-0.995717989,-0.714401729,-0.314883574,-0.420520287,2.229556273,-0.755194125,DOWN
@xerox,2017-11-21,0.331187754,0.512175074,1.672483792,-0.299210252,-0.308257508,-0.421244936,-0.875674206,-1.464438433,DOWN
@xerox,2017-11-20,-3.503039358,-0.978318378,-2.594583433,-0.797440024,-0.315052805,-0.421273635,-0.882440612,-0.045949817,UP
@xerox,2017-11-17,-1.113217445,1.134855754,-1.907593421,-0.666951274,-0.314388897,-0.423311262,-0.950613438,-0.755194125,UP
@xerox,2017-11-16,2.044421401,3.326658723,0.823510498,-0.429699002,-0.306487085,-0.422306798,-0.921699703,-1.464438433,DOWN
@xerox,2017-11-15,0.006765194,-0.522258972,-1.151945521,-0.678813888,-0.315130912,-0.421460179,-0.798625871,-1.109816279,UP
@xerox,2017-11-14,-2.238144463,-0.116004833,-1.556081476,-0.524599911,-0.315846892,-0.422306798,-0.746911443,-0.755194125,DOWN
@xerox,2017-11-13,0.215586866,1.476154324,-0.855113211,-1.034692297,-0.312032673,-0.417019012,-0.916477208,0.308672336,DOWN
@xerox,2017-11-10,-1.047753466,-0.538746734,0.351127779,-0.536462524,-0.31116048,-0.414550901,2.280781339,-0.755194125,DOWN
@xerox,2017-11-09,0.042518278,-0.278341519,1.36249548,-0.595775593,-0.311915513,-0.420032405,-0.479862338,1.017916644,UP
@xerox,2017-11-08,-1.002966529,0.596495232,1.337827976,-0.631363434,-0.311629121,-0.421747168,-0.940283073,-1.464438433,UP
@xerox,2017-11-07,0.108857654,1.678202563,2.447865697,-0.48901207,-0.30699478,-0.419831512,-0.939097145,-1.464438433,DOWN
@xerox,43045,-2.590690027,-0.587549322,-0.191557329,-0.892340934,-0.313009009,-0.41975259,-0.816892701,-0.755194125,UP
