company,date,avjSubj_std,Subj Perc,Subj Rank,avgPol_std,Pol Perc,Pol Rank,medianTime_std,Time Perc,Time Rank,numTweets_over_followers_std,numTweets Perc,numTweets Rank,sumRetweets_over_followers_std,sumRetweets Perc,sumRetweets Rank,sumFavorites_over_sumFollowers_std,sumFaves Perc,sumFaves Rank,sumFollowers_over_followers_std,sumFollowers Perc,sumFollowers Rank,numVerified_over_followers_std,numVerified Perc,numVerified Rank,change_std
@google,2017-11-06,1.202007513,0.87,Very high,0.195250611,0.633333333,High,0.591843051,0.733333333,Later,2.411133632,0.983333333,Very high,0.801785376,0.966666667,Very high,1.36423961,0.95,Very high,0.423930558,0.75,High,1.200025588,0.866666667,Very high,-0.814837473
@intel,2017-11-10,-0.434792943,0.28,Low,-0.071583266,0.516666667,High,-0.007323142,0.483333333,Later,-0.840344814,0.133333333,Very low,-0.316789202,0.466666667,Low,-0.436518764,0.483333333,Low,-0.378165541,0.483333333,Low,-0.760866442,0.25,Very low,-1.290067259
@intel,2017-11-09,0.888031074,0.80,Very high,0.06114389,0.566666667,High,0.623378113,0.766666667,Later,-0.565290354,0.416666667,Low,-0.296852192,0.533333333,High,-0.39218308,0.55,High,0.782090944,0.883333333,Very high,0.900489057,0.783333333,Very high,0.602636773
@intel,2017-11-08,2.030305772,0.97,Very high,0.964877366,0.866666667,Very high,0.907193679,0.816666667,Very late,-0.469341124,0.55,High,-0.253992249,0.633333333,High,-0.421945768,0.516666667,High,0.699627316,0.85,Very high,0.418160041,0.716666667,High,0.146910793
@intel,2017-11-07,2.260008806,1.00,Very high,1.997706133,0.966666667,Very high,1.884780626,0.983333333,Very late,0.453903692,0.766666667,Very high,-0.080557878,0.783333333,Very high,-0.25367924,0.65,High,0.485263156,0.766666667,Very high,2.186699766,0.966666667,Very high,0.146549979
@intel,2017-11-06,-0.715125005,0.23,Very low,-0.327735617,0.3,Low,0.497237863,0.7,Early,-0.511985226,0.483333333,Low,-0.302728489,0.516666667,High,-0.37382797,0.583333333,High,-0.208699333,0.6,High,0.096607364,0.633333333,High,0.199680122
@xerox,2017-11-10,-1.120297753,0.12,Very low,-0.610485121,0.166666667,Very low,0.4657028,0.683333333,Very early,-0.551111232,0.433333333,Low,-0.341216481,0.216666667,Very low,-0.49285171,0.316666667,Low,2.803738895,0.983333333,Very high,-0.817956959,0.15,Very low,-0.189819241
@xerox,2017-11-09,-0.132392027,0.47,Low,-0.398005388,0.266666667,Low,1.758640374,0.966666667,Early,-0.620059932,0.383333333,Low,-0.341776502,0.183333333,Very low,-0.497113435,0.133333333,Very low,-0.4331668,0.416666667,Low,0.9150407,0.8,Very high,0.738244306
@xerox,2017-11-08,-1.079715879,0.13,Very low,0.315824705,0.7,High,1.727105312,0.95,Later,-0.661429151,0.3,Low,-0.34156408,0.2,Very low,-0.498446618,0.083333333,Very low,-0.973018615,0.033333333,Very low,-1.511156022,0.016666667,Very low,3.284963006
@xerox,2017-11-07,-0.07228128,0.57,High,1.198452516,0.933333333,Very high,3.146183138,1,Very late,-0.495952273,0.533333333,High,-0.338126714,0.35,Low,-0.496957246,0.15,Very low,-0.971628092,0.05,Very low,-1.511156022,0.016666667,Very low,-2.380394405
@xerox,2017-11-06,-2.518367429,0.02,Very low,-0.650305986,0.15,Very low,-0.228068582,0.383333333,Very early,-0.964803428,0.083333333,Very low,-0.342587565,0.133333333,Very low,-0.496895886,0.166666667,Very low,-0.828341124,0.1,Very low,-0.817956959,0.15,Very low,0.190059228
@cisco,2017-11-10,-0.644572207,0.25,Very low,-1.597001337,0.05,Very low,0.181887234,0.6,Very early,-0.641724004,0.35,Low,-0.336308543,0.4,Low,-0.49382737,0.266666667,Low,-0.162441294,0.616666667,High,-0.298828771,0.483333333,Low,-0.315973311
@cisco,2017-11-09,-0.089494951,0.53,High,0.531266176,0.783333333,Very high,-0.953375026,0.166666667,Very late,-0.706980971,0.216666667,Very low,-0.343603477,0.1,Very low,-0.495551242,0.216666667,Very low,-0.73068054,0.233333333,Very low,-0.726708977,0.3,Low,-0.922800532
@cisco,2017-11-08,-0.774384326,0.20,Very low,-0.208634945,0.433333333,Low,-0.007323142,0.483333333,Early,-0.508372811,0.5,Low,-0.339864625,0.283333333,Low,-0.491806239,0.366666667,Low,-0.613134213,0.316666667,Low,-0.156202035,0.583333333,High,0.615998758
@cisco,2017-11-07,-1.312776238,0.05,Very low,-0.047256206,0.533333333,High,0.055746983,0.533333333,Later,-0.227484127,0.616666667,High,-0.338038904,0.366666667,Low,-0.493811302,0.283333333,Low,-0.635435297,0.3,Low,0.057738068,0.616666667,High,0.222397144
@google,2017-11-17,-0.371888037,0.35,Low,-0.111651659,0.5,Low,0.356906833,0.666666667,Early,1.354785536,0.833333333,Very high,0.124308653,0.833333333,Very high,0.495028948,0.85,Very high,2.352932551,0.966666667,Very high,0.483276427,0.733333333,High,-1.690062403
@google,2017-11-16,1.843672616,0.93,Very high,0.792022309,0.85,Very high,-0.611745179,0.25,Very late,2.698777714,1,Very high,0.525739365,0.933333333,Very high,0.895341651,0.9,Very high,4.298384586,1,Very high,2.664686918,1,Very high,1.084830714
@google,2017-11-15,-0.407694613,0.30,Low,-0.583944227,0.2,Very low,0.957124195,0.866666667,Very early,1.599035037,0.9,Very high,-0.151419621,0.716666667,High,-0.102489812,0.733333333,High,0.624617826,0.833333333,Very high,1.573981672,0.9,Very high,0.103499081
@google,2017-11-14,-0.452260539,0.27,Low,-0.273166294,0.383333333,Low,-0.113491187,0.416666667,Early,1.472570828,0.883333333,Very high,0.204063324,0.85,Very high,0.907792822,0.916666667,Very high,0.519918979,0.783333333,Very high,1.979100764,0.95,Very high,0.399944535
@google,2017-11-13,-0.283551077,0.38,Low,-0.849497501,0.1,Very low,-0.043588465,0.466666667,Very early,1.119214951,0.8,Very high,0.600339051,0.95,Very high,0.96820452,0.933333333,Very high,0.919860168,0.9,Very high,1.07537356,0.85,Very high,-0.016542396
@intel,2017-11-17,-0.141263508,0.43,Low,-0.291097882,0.366666667,Low,0.133533471,0.566666667,Early,-0.646314148,0.333333333,Low,-0.116596479,0.766666667,Very high,0.407146967,0.8,Very high,-0.721430055,0.25,Very low,-0.975234893,0.083333333,Very low,-2.410647791
@intel,2017-11-16,-0.017876598,0.60,High,-0.296501411,0.35,Low,-0.941286586,0.183333333,Early,-0.59300902,0.4,Low,-0.131521617,0.75,High,0.31507299,0.783333333,Very high,0.356972813,0.733333333,High,-0.868050668,0.133333333,Very low,-0.00991576
@intel,2017-11-15,-1.020645956,0.15,Very low,-0.321209221,0.316666667,Low,0.681192396,0.783333333,Early,-0.243327381,0.6,High,-0.0655775,0.8,Very high,0.585286665,0.866666667,Very high,0.278381376,0.7,High,-0.1713532,0.566666667,High,0.1255768
@intel,2017-11-14,-0.407421851,0.32,Low,-0.149943649,0.466666667,Low,0.277018007,0.633333333,Early,-0.663371789,0.283333333,Low,-0.136772363,0.733333333,High,0.019151294,0.75,High,-0.656525807,0.283333333,Low,-0.921642781,0.116666667,Very low,0.366016444
@intel,2017-11-13,1.081342366,0.85,Very high,1.263737126,0.95,Very high,0.785258103,0.8,Very late,-0.821154968,0.15,Very low,-0.292273279,0.566666667,High,-0.375775521,0.566666667,High,-0.70266536,0.266666667,Low,-0.975234893,0.083333333,Very low,1.265130726
@xerox,2017-11-17,-1.179615295,0.08,Very low,0.75510431,0.816666667,Very high,-2.421857784,0.016666667,Very late,-0.702798371,0.233333333,Very low,-0.343611051,0.083333333,Very low,-0.49966266,0.016666667,Very low,-0.985131159,0.016666667,Very low,-0.817956959,0.15,Very low,0.632693471
@xerox,2017-11-16,1.681551669,0.92,Very high,2.543523599,1,Very high,1.069599252,0.916666667,Very late,-0.427003574,0.566666667,High,-0.337750149,0.383333333,Low,-0.498881716,0.033333333,Very low,-0.95122927,0.066666667,Very low,-1.511156022,0.016666667,Very low,-0.237201338
@xerox,2017-11-15,-0.164788241,0.42,Low,-0.597031799,0.183333333,Very low,-1.455833694,0.083333333,Very early,-0.716588111,0.2,Very low,-0.344161415,0.05,Very low,-0.498223491,0.1,Very low,-0.80692293,0.116666667,Very low,-1.16455649,0.066666667,Very low,0.990995765
@xerox,2017-11-14,-2.198922498,0.03,Very low,-0.265545462,0.4,Low,-1.972483139,0.033333333,Early,-0.537321493,0.45,Low,-0.344692469,0.033333333,Very low,-0.498881716,0.033333333,Very low,-0.746286808,0.216666667,Very low,-0.817956959,0.15,Very low,-0.368934211
@xerox,2017-11-13,0.024427087,0.63,High,1.033589628,0.9,Very high,-1.076361771,0.15,Very late,-1.130280307,0.016666667,Very low,-0.341863401,0.166666667,Very low,-0.494770602,0.25,Very low,-0.945105798,0.083333333,Very low,0.221841637,0.683333333,High,-3.740899903
@apple,2017-11-17,0.205071998,0.68,High,-0.81856975,0.116666667,Very low,1.089045874,0.933333333,Very early,0.242542468,0.733333333,High,-0.158154176,0.7,High,-0.22547949,0.716666667,High,-0.309666564,0.516666667,High,0.151320672,0.65,High,-0.702397309
@apple,2017-11-16,0.222942727,0.73,High,-0.814780169,0.133333333,Very low,-0.346325067,0.366666667,Very early,0.130557842,0.683333333,High,-0.159210663,0.683333333,High,-0.270769024,0.633333333,High,-0.264149104,0.566666667,High,-0.457705444,0.45,Low,-0.121077272
@apple,2017-11-15,1.412449227,0.88,Very high,-1.351646055,0.066666667,Very low,-0.585991545,0.283333333,Very early,1.165269591,0.816666667,Very high,3.453458187,0.983333333,Very high,2.78292738,0.983333333,Very high,0.017671258,0.633333333,High,-0.342484287,0.466666667,Low,-0.706417963
@apple,2017-11-14,1.935806296,0.95,Very high,-1.667451238,0.033333333,Very low,0.156659184,0.583333333,Very early,1.752697717,0.916666667,Very high,6.465881076,1,Very high,5.468370882,1,Very high,-0.52943273,0.366666667,Low,-0.293103791,0.5,Low,-1.269570118
@apple,2017-11-13,0.227797709,0.75,High,-0.855623242,0.083333333,Very low,0.031044518,0.516666667,Very early,0.23664854,0.716666667,High,-0.206460517,0.666666667,High,-0.301668385,0.616666667,High,-0.425680296,0.433333333,Low,-0.671687592,0.333333333,Low,0.268785165
@oracle,2017-11-17,2.133097705,0.98,Very high,-4.568942285,0.016666667,Very low,-0.850360488,0.2,Very early,-0.134720228,0.633333333,High,-0.315316254,0.483333333,Low,-0.48742942,0.4,Low,-0.31909585,0.5,Low,-0.56910853,0.4,Low,-0.214010756
@oracle,2017-11-16,0.022923365,0.62,High,0.094223522,0.583333333,High,1.007580296,0.9,Later,-0.719410002,0.183333333,Very low,-0.342299747,0.15,Very low,-0.496162337,0.183333333,Very low,-0.309566137,0.533333333,High,-0.56910853,0.4,Low,0.161224824
@oracle,2017-11-15,-0.864432865,0.18,Very low,0.053013539,0.55,High,-0.714759718,0.216666667,Later,-0.65944182,0.316666667,Low,-0.339182028,0.3,Low,-0.495029787,0.233333333,Very low,-0.590358014,0.333333333,Low,-0.757518029,0.266666667,Low,-0.214379732
@oracle,2017-11-14,-0.089678643,0.52,High,-0.145590224,0.483333333,Low,-0.357887924,0.35,Early,-0.093492103,0.65,High,-0.305102312,0.5,Low,-0.49017665,0.383333333,Low,-0.408272881,0.466666667,Low,-0.56910853,0.4,Low,-0.362356658
@oracle,2017-11-13,-0.128418619,0.48,Low,0.367650964,0.716666667,High,-1.56935992,0.05,Later,-0.678181877,0.266666667,Low,-0.329398478,0.433333333,Low,-0.483561768,0.433333333,Low,-0.797304025,0.15,Very low,-0.757518029,0.266666667,Low,0.686236042
@hp,2017-11-17,0.963006789,0.82,Very high,1.143254278,0.916666667,Very high,-0.144500665,0.4,Very late,-0.979756743,0.066666667,Very low,-0.338457233,0.316666667,Low,-0.468690487,0.45,Low,-0.798830374,0.133333333,Very low,-0.715940986,0.316666667,Low,1.305790751
@hp,2017-11-16,1.590413968,0.90,Very high,0.984196659,0.883333333,Very high,0.912449523,0.85,Very late,-0.784654098,0.166666667,Very low,-0.334205704,0.416666667,Low,-0.451612365,0.466666667,Low,-0.291401121,0.55,High,-0.649673067,0.366666667,Low,0.738145827
@hp,2017-11-15,-0.029501743,0.58,High,2.149577638,0.983333333,Very high,0.613392011,0.75,Very late,-0.420814029,0.583333333,High,-0.274547701,0.616666667,High,-0.247197495,0.666666667,High,-0.424956535,0.45,Low,-0.185797629,0.55,High,0.224276808
@hp,2017-11-14,0.462814787,0.78,Very high,0.578142954,0.8,Very high,-1.372791362,0.133333333,Very late,-1.024577621,0.033333333,Very low,-0.338154475,0.333333333,Low,-0.484089913,0.416666667,Low,-0.78469945,0.183333333,Very low,-0.782208906,0.216666667,Very low,1.448745035
@hp,2017-11-13,0.979962325,0.83,Very high,0.7594557,0.833333333,Very high,0.241278269,0.616666667,Very late,-0.874295854,0.116666667,Very low,-0.325770953,0.45,Low,-0.423241971,0.5,Low,-0.55950265,0.35,Low,-0.782208906,0.216666667,Very low,-0.410606421
@cisco,2017-11-17,0.11541484,0.67,High,0.238180031,0.65,High,-0.458800125,0.333333333,Later,-0.695631933,0.25,Very low,-0.34320615,0.116666667,Very low,-0.495998852,0.2,Very low,-0.50313354,0.4,Low,-0.584082242,0.383333333,Low,-0.063714538
@cisco,2017-11-16,0.212185887,0.72,High,0.264023688,0.683333333,High,-1.490522263,0.066666667,Later,-0.502698292,0.516666667,High,-0.340955289,0.233333333,Very low,-0.493362544,0.3,Low,-0.509594132,0.383333333,Low,-0.227515403,0.516666667,High,-0.608628684
@cisco,2017-11-15,-0.078177454,0.55,High,0.491164072,0.75,High,-0.471939734,0.316666667,Later,-0.516884589,0.466666667,Low,-0.340734772,0.25,Very low,-0.49276114,0.35,Low,-0.208926207,0.583333333,High,-0.0135753,0.6,High,0.442139675
@cisco,2017-11-14,-0.27404572,0.40,Low,0.187363357,0.616666667,High,-0.608066089,0.266666667,Later,-0.630374966,0.366666667,Low,-0.343818034,0.066666667,Very low,-0.497486294,0.116666667,Very low,0.156575464,0.666666667,High,0.556931642,0.75,High,0.588782334
@cisco,2017-11-13,-1.232977421,0.07,Very low,0.165113053,0.6,High,0.996017439,0.883333333,Later,-0.987869654,0.05,Very low,-0.344761687,0.016666667,Very low,-0.498492842,0.066666667,Very low,-0.790397629,0.166666667,Very low,-0.227515403,0.516666667,High,0.262533898
